#id	off	len	end	hex	readable	translation
138	0x01df	0	F1			
139	0x01e0	0	F1			
140	0x01e1	0	F1			
141	0x01e2	0	F1			
142	0x01e3	0	F1			
143	0x01e4	12	F1	20202020bfc9f5e9a6f402c3	    その姿を見て	   그 모습을 보고
144	0x01f1	0	F1			
145	0x01f2	0	FD			
146	0x01f3	8	F1	2020202020b6c2c3	     かつて	    일찍이
147	0x01fc	0	F1			
148	0x01fd	0	FD			
149	0x01fe	11	F1	20202020f505f506c4b2b3	    人間という	    인간이라는
150	0x020a	0	F1			
151	0x020b	0	FD			
152	0x020c	12	F1	202022b7dfb601b2c0bac4a6	  生き物がいたことを	  생물이 있었음을
153	0x0219	0	F1			
154	0x021a	0	F1			
155	0x021b	0	F1			
156	0x021c	0	F1			
157	0x021d	0	F1			
158	0x021e	0	FD			
159	0x021f	8	F1	2020202020bfbcc3	     そして	     그리고
160	0x0228	0	F1			
161	0x0229	15	F1	202020f505f506c9f6e2b2c0f568a6	   人間の抱いた光を	  인간이 품었던 빛을
162	0x0239	0	F1			
163	0x023a	0	F1			
164	0x023b	0	F1			
165	0x023c	0	F1			
166	0x023d	0	F1			
167	0x023e	0	FD			
168	0x023f	12	F1	2099776dca3eb224bcc3b2d9	 ルキュは思い出している	 루큐는 기억한다
169	0x024c	0	F1			
170	0x024d	0	F1			
171	0x024e	0	F1			
172	0x024f	0	F1			
173	0x0250	0	F1			
174	0x0251	0	FF			
175	0x0252	9	F1	202020202099776dca	     ルキュは	    루큐는
176	0x025c	0	F1			
177	0x025d	12	F1	20202020f5abc4f52ac6b1d9	    天と地にある	   하늘과 땅의
178	0x026a	0	F1			
179	0x026b	15	F1	20202261bdcd01c3a6f5c2bcf616d8	  生命すべてを消し去り	  모든 생명을 없애고
180	0x027b	0	F1			
181	0x027c	0	FD			
182	0x027d	8	F1	2020202020bfbcc3	     そして	     그리고
183	0x0286	0	F1			
184	0x0287	0	FD			
185	0x0288	17	F1	20f532f52ca6f6daf5e4c9dec6f6b7d2c0	 自身を虚空の中に沈めた	자신을 허공에 가라앉혔다
186	0x029a	0	F1			
187	0x029b	0	F1			
188	0x029c	0	F1			
189	0x029d	0	F1			
190	0x029e	0	F1			
191	0x029f	11	F1	2020202020f51ac9dec301	     闇の中で	   어둠 속에서
192	0x02ab	0	F1			
193	0x02ac	14	F1	20202099776dcaf611bc01f52da6	   ルキュは同じ夢を	 루큐는 같은 꿈을
194	0x02bb	0	F1			
195	0x02bc	0	FD			
196	0x02bd	11	F1	202020b8d8b6b4bcf402d9	   くりかえし見る	    거듭 본다
197	0x02c9	0	F1			
198	0x02ca	0	F1			
199	0x02cb	0	F1			
200	0x02cc	0	F1			
201	0x02cd	0	F1			
202	0x02ce	0	F1			
203	0x02cf	0	F1			
204	0x02d0	0	F1			
205	0x02d1	0	F1			
206	0x02d2	0	FE			
207	0x02d3	0	F1			
208	0x02d4	0	F1			
209	0x02d5	0	F1			
210	0x02d6	0	F1			
211	0x02d7	0	F1			
212	0x02d8	0	F1			
213	0x02d9	0	FD			
214	0x02da	16	F1	20f611bc01f52da6b8d8b6b4bcf402d9	 同じ夢をくりかえし見る	 같은 꿈을 거듭 본다
215	0x02eb	0	F1			
216	0x02ec	0	F1			
217	0x02ed	0	F1			
218	0x02ee	0	F1			
219	0x02ef	0	F1			
220	0x02f0	0	FD			
221	0x02f1	8	F1	2020202020bfdaca	     それは	     그것은
222	0x02fa	0	F1			
223	0x02fb	13	F1	20202099776db601cabc01d2c3	   ルキュがはじめて	  루큐가 처음으로
224	0x0309	0	F1			
225	0x030a	14	F1	202020f505f506a6c2b8afc0f6e3	   人間をつくった頃	 인간을 만들던 무렵
226	0x0319	0	F1			
227	0x031a	10	F1	2020202020b1c9f6e3c9	     あの頃の	    그 무렵의
228	0x0325	0	F1			
229	0x0326	0	F1			
230	0x0327	0	F1			
231	0x0328	0	F1			
232	0x0329	0	F1			
233	0x032a	16	F1	209bb08001b601bac1d7a6f402c3b2d9	 ローダがこちらを見ている	로다가 이쪽을 보고 있다
234	0x033b	0	F1			
235	0x033c	0	F1			
236	0x033d	0	F1			
237	0x033e	0	F1			
238	0x033f	0	F1			
239	0x0340	11	F1	20202020bac1d7a6f402c3	    こちらを見て	    이쪽을 보고
240	0x034c	0	F1			
241	0x034d	0	FD			
242	0x034e	11	F1	202020ceceb4ddc301b2d9	   ほほえんでいる	  미소 짓고 있다
243	0x035a	0	F1			
244	0x035b	0	F1			
245	0x035c	0	F1			
246	0x035d	0	F1			
247	0x035e	0	F1			
248	0x035f	0	F1			
249	0x0360	0	F1			
250	0x0361	0	F1			
251	0x0362	0	F1			
252	0x0363	0	F1			
253	0x0364	0	F1			
254	0x0365	0	FF			
255	0x0366	4	FF	007800d0	<魔>ク<魔>み	
256	0x036b	33	FF	200000000000000000000000000000000000000020230a080a0f020d0008020e06	 <魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔> 兵<0A><08><0A><0F><見><0D><魔><08><見><0E><06>	
257	0x038d	4	FF	019600d0	<士>ヨ<魔>み	
258	0x0392	2	FE	8000	タ<魔>	
259	0x0395	32	FF	0800000000000000000000000000000000000000000000000028062425200f06	<08><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔>（<06>出時 <0F><06>	
260	0x03b6	22	FF	204040404040005a001001800000050a230604252023	 輪輪輪輪輪<魔>Ｚ<魔><10><士>タ<魔><魔><05><0A>兵<06><04>時 兵	
261	0x03cd	7	FE	01780010012000	<士>ク<魔><10><士> <魔>	
262	0x03d5	19	FF	0400232a260a04090a000f0a24090a2b022802	<04><魔>兵行手<0A><04><09><0A><魔><0F><0A>出<09><0A>十<見>（<見>	
263	0x03e9	44	FF	204040404040005a001001200000000000000000000000000000000000000008020e06000506240a080f0623	 輪輪輪輪輪<魔>Ｚ<魔><10><士> <魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><08><見><0E><06><魔><05><06>出<0A><08><0F><06>兵	
264	0x0416	4	FF	017800d0	<士>ク<魔>み	
265	0x041b	2	FE	8000	タ<魔>	
266	0x041e	32	FF	040000000000000000000000000000000000002a2625020c0200090a23022502	<04><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔>行手時<見><0C><見><魔><09><0A>兵<見>時<見>	
267	0x043f	24	FF	20005a0010012000000e020a0f002123200823020e0e0623	 <魔>Ｚ<魔><10><士> <魔><魔><0E><見><0A><0F><魔>！兵 <08>兵<見><0E><0E><06>兵	
268	0x0458	4	FF	017800d0	<士>ク<魔>み	
269	0x045d	2	FE	8000	タ<魔>	
270	0x0460	18	FF	040025242625200e2600280225020f020306	<04><魔>時出手時 <0E>手<魔>（<見>時<見><0F><見><03><06>	
271	0x0473	29	FF	204040404040005a001001200000242106040a020d0006070706042524	 輪輪輪輪輪<魔>Ｚ<魔><10><士> <魔><魔>出！<06><04><0A><見><0D><魔><06><07><07><06><04>時出	
272	0x0491	4	FF	017800d0	<士>ク<魔>み	
273	0x0496	2	FE	8000	タ<魔>	
274	0x0499	21	FF	04000e0a04090a24090a2520000a24090a2b260c02	<04><魔><0E><0A><04><09><0A>出<09><0A>時 <魔><0A>出<09><0A>十手<0C><見>	
275	0x04af	39	FF	20005a001001200000000000000000000000000000040902230204250623000506240a080f0623	 <魔>Ｚ<魔><10><士> <魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><04><09><見>兵<見><04>時<06>兵<魔><05><06>出<0A><08><0F><06>兵	
276	0x04d7	4	FF	017800d0	<士>ク<魔>み	
277	0x04dc	2	FE	8000	タ<魔>	
278	0x04df	32	FF	0400000000000000000000000000000000000000000e020c0a0020202b202302	<04><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><0E><見><0C><0A><魔>  十 兵<見>	
279	0x0500	44	FF	204040404040005a001001200000000000000000000000000000000008230221090a04000506240a080f0623	 輪輪輪輪輪<魔>Ｚ<魔><10><士> <魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><08>兵<見>！<09><0A><04><魔><05><06>出<0A><08><0F><06>兵	
280	0x052d	4	FF	017800d0	<士>ク<魔>み	
281	0x0532	2	FE	8000	タ<魔>	
282	0x0535	32	FF	0400000000000000000000000000000000000c020f020c20000c20092a020e02	<04><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><0C><見><0F><見><0C> <魔><0C> <09>行<見><0E><見>	
283	0x0556	28	FF	20005a00100120000004200008230221090a04000506240a080f0623	 <魔>Ｚ<魔><10><士> <魔><魔><04> <魔><08>兵<見>！<09><0A><04><魔><05><06>出<0A><08><0F><06>兵	
284	0x0573	4	FF	017800d0	<士>ク<魔>み	
285	0x0578	2	FE	8000	タ<魔>	
286	0x057b	14	FF	04000e0a0f02000e20230a200c02	<04><魔><0E><0A><0F><見><魔><0E> 兵<0A> <0C><見>	
287	0x058a	6	FF	0196008000e0	<士>ヨ<魔>タ<魔>←	
288	0x0591	0	FE			
289	0x0592	12	FF	0400230a060c200024260e0a	<04><魔>兵<0A><06><0C> <魔>出手<0E><0A>	
290	0x059f	43	FF	2040404040005a0010012000000000000000000000000000000000242106040a020d0008230221090a0424	 輪輪輪輪<魔>Ｚ<魔><10><士> <魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔>出！<06><04><0A><見><0D><魔><08>兵<見>！<09><0A><04>出	
291	0x05cb	4	FF	017800d0	<士>ク<魔>み	
292	0x05d0	2	FE	8000	タ<魔>	
293	0x05d3	32	FF	0400000000000000000000000000000000000000000e020c0a0020202b202302	<04><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><0E><見><0C><0A><魔>  十 兵<見>	
294	0x05f4	4	FF	019600d0	<士>ヨ<魔>み	
295	0x05f9	2	FE	1000	<10><魔>	
296	0x05fc	32	FF	04000000000000000000000000000000000000000c02252426200024020a2520	<04><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><0C><見>時出手 <魔>出<見><0A>時 	
297	0x061d	9	FF	2040404040005a00d0	 輪輪輪輪<魔>Ｚ<魔>み	
298	0x0627	33	FF	2000000000000000000000000000000000000000000e0221000506240a080f0623	 <魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><0E><見>！<魔><05><06>出<0A><08><0F><06>兵	
299	0x0649	4	FF	017800d0	<士>ク<魔>み	
300	0x064e	2	FE	8000	タ<魔>	
301	0x0651	32	FF	040000000000000000000000000000000000002a2625020c0200090a23022502	<04><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔>行手時<見><0C><見><魔><09><0A>兵<見>時<見>	
302	0x0672	6	FF	0196004000d0	<士>ヨ<魔>輪<魔>み	
303	0x0679	0	FE			
304	0x067a	32	FF	0400000000000000000000000000000000000c020f020c20000c20092a020e02	<04><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><0C><見><0F><見><0C> <魔><0C> <09>行<見><0E><見>	
305	0x069b	5	FF	20005a00d0	 <魔>Ｚ<魔>み	
306	0x06a1	33	FF	4000000000000000000000000000000000002404060f02230a200028230a250623	輪<魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔>出<04><06><0F><見>兵<0A> <魔>（兵<0A>時<06>兵	
307	0x06c3	4	FF	007800d0	<魔>ク<魔>み	
308	0x06c8	2	FE	0000	<魔><魔>	
309	0x06cb	32	FF	04000000000000000000000000000000000000000f02200c0a002a0224260502	<04><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><0F><見> <0C><0A><魔>行<見>出手<05><見>	
310	0x06ec	31	FF	20404040005a0010012000000627060f25002404230a2125000506240a080f	 輪輪輪<魔>Ｚ<魔><10><士> <魔><魔><06>力<06><0F>時<魔>出<04>兵<0A>！時<魔><05><06>出<0A><08><0F>	
311	0x070c	6	FF	017800a000d0	<士>ク<魔>♥<魔>み	
312	0x0713	0	FE			
313	0x0714	19	FF	0400232a260a04090a000f0a24090a2b022802	<04><魔>兵行手<0A><04><09><0A><魔><0F><0A>出<09><0A>十<見>（<見>	
314	0x0728	6	FF	0196008000d0	<士>ヨ<魔>タ<魔>み	
315	0x072f	0	FE			
316	0x0730	19	FF	04000e0a04090a25020c020025242623262502	<04><魔><0E><0A><04><09><0A>時<見><0C><見><魔>時出手兵手時<見>	
317	0x0744	6	FF	01b4004000d0	<士>え<魔>輪<魔>み	
318	0x074b	0	FE			
319	0x074c	15	FF	04000e02240220000224020c022802	<04><魔><0E><見>出<見> <魔><見>出<見><0C><見>（<見>	
320	0x075c	5	FF	20005a00d0	 <魔>Ｚ<魔>み	
321	0x0762	33	FF	20000000000000000000000000000000000000000000042000050a230604252023	 <魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><04> <魔><05><0A>兵<06><04>時 兵	
322	0x0784	4	FF	017800d0	<士>ク<魔>み	
323	0x0789	2	FE	8000	タ<魔>	
324	0x078c	32	FF	04000000000000000000000000000024090a0f0a04090a0024020c020e202520	<04><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔>出<09><0A><0F><0A><04><09><0A><魔>出<見><0C><見><0E> 時 	
325	0x07ad	12	FF	204040404040005a008000d0	 輪輪輪輪輪<魔>Ｚ<魔>タ<魔>み	
326	0x07ba	20	FF	00250a250d06000d200820000506240a080f0623	<魔>時<0A>時<0D><06><魔><0D> <08> <魔><05><06>出<0A><08><0F><06>兵	
327	0x07cf	6	FF	017800c000d0	<士>ク<魔>た<魔>み	
328	0x07d6	0	FE			
329	0x07d7	14	FF	04000e0a0f02000e20230a200c02	<04><魔><0E><0A><0F><見><魔><0E> 兵<0A> <0C><見>	
330	0x07e6	26	FF	2000780010012000002420260f0500212320052604060500032a	 <魔>ク<魔><10><士> <魔><魔>出 手<0F><05><魔>！兵 <05>手<04><06><05><魔><03>行	
331	0x0801	7	FE	01960010012000	<士>ヨ<魔><10><士> <魔>	
332	0x0809	11	FF	0800254624000e26240a04	<08><魔>時Ｆ出<魔><0E>手出<0A><04>	
333	0x0815	39	FF	20005a001001200000000000000000000000000000000000002420260f0500050a230604252023	 <魔>Ｚ<魔><10><士> <魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔>出 手<0F><05><魔><05><0A>兵<06><04>時 兵	
334	0x083d	4	FF	017800d0	<士>ク<魔>み	
335	0x0842	2	FE	8000	タ<魔>	
336	0x0845	32	FF	040000000000000000000000000000000000000025020c0624090a0024022520	<04><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔>時<見><0C><06>出<09><0A><魔>出<見>時 	
337	0x0866	10	FF	204040404040005a00d0	 輪輪輪輪輪<魔>Ｚ<魔>み	
338	0x0871	17	FF	2000002420260f050004200e2120240623	 <魔><魔>出 手<0F><05><魔><04> <0E>！ 出<06>兵	
339	0x0883	7	FE	01780010012000	<士>ク<魔><10><士> <魔>	
340	0x088b	17	FF	040025200e202a260c0a0009020e020502	<04><魔>時 <0E> 行手<0C><0A><魔><09><見><0E><見><05><見>	
341	0x089d	43	FF	2040404040005a001001200000000000000000000000000000000000000000000000000000000e26240a04	 輪輪輪輪<魔>Ｚ<魔><10><士> <魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><0E>手出<0A><04>	
342	0x08c9	4	FF	017800d0	<士>ク<魔>み	
343	0x08ce	2	FE	8000	タ<魔>	
344	0x08d1	32	FF	040000000000000000000000000000000025020c0224090a002524260e020c0a	<04><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔>時<見><0C><見>出<09><0A><魔>時出手<0E><見><0C><0A>	
345	0x08f2	4	FF	019600d0	<士>ヨ<魔>み	
346	0x08f7	2	FE	8000	タ<魔>	
347	0x08fa	32	FF	040000000000000000000000000000000000000025020c0624090a0024022520	<04><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔>時<見><0C><06>出<09><0A><魔>出<見>時 	
348	0x091b	20	FF	200178001001200000212320052604060500032a	 <士>ク<魔><10><士> <魔><魔>！兵 <05>手<04><06><05><魔><03>行	
349	0x0930	7	FE	01960010018000	<士>ヨ<魔><10><士>タ<魔>	
350	0x0938	6	FF	0800060f0a29	<08><魔><06><0F><0A>）	
351	0x093f	9	FF	2040404040015a00d0	 輪輪輪輪<士>Ｚ<魔>み	
352	0x0949	33	FF	8000000000000000000000000000000000000000002506242500210d022a062324	タ<魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔>時<06>出時<魔>！<0D><見>行<06>兵出	
353	0x096b	4	FF	017800d0	<士>ク<魔>み	
354	0x0970	2	FE	a000	♥<魔>	
355	0x0973	32	FF	040000000000000000000000000000002a260a04090a232026000e20230a2a02	<04><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔>行手<0A><04><09><0A>兵 手<魔><0E> 兵<0A>行<見>	
356	0x0994	4	FF	017800d0	<士>ク<魔>み	
357	0x0999	2	FE	a000	♥<魔>	
358	0x099c	32	FF	0400000000000000000000000000000000000c022b260c20000e022524260502	<04><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><0C><見>十手<0C> <魔><0E><見>時出手<05><見>	
359	0x09bd	8	FE	20015a001001c000	 <士>Ｚ<魔><10><士>た<魔>	
360	0x09c6	17	FF	040025020c022a260c0a00072625020c0a	<04><魔>時<見><0C><見>行手<0C><0A><魔><07>手時<見><0C><0A>	
361	0x09d8	7	FE	00780010018000	<魔>ク<魔><10><士>タ<魔>	
362	0x09e0	18	FF	04000e0224020c022b26002502082604090a	<04><魔><0E><見>出<見><0C><見>十手<魔>時<見><08>手<04><09><0A>	
363	0x09f3	7	FE	00960010014000	<魔>ヨ<魔><10><士>輪<魔>	
364	0x09fb	13	FF	04002a200c20000c0208022a02	<04><魔>行 <0C> <魔><0C><見><08><見>行<見>	
365	0x0a09	5	FF	20015a00d0	 <士>Ｚ<魔>み	
366	0x0a0f	2	FE	a000	♥<魔>	
367	0x0a12	32	FF	0400000000000000000000000000000000000000000e02230a0c20000a0a0502	<04><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><0E><見>兵<0A><0C> <魔><0A><0A><05><見>	
368	0x0a33	4	FF	017800d0	<士>ク<魔>み	
369	0x0a38	2	FE	8000	タ<魔>	
370	0x0a3b	32	FF	04000000000000000000000000000000000000000000000c020f000a0c060502	<04><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><0C><見><0F><魔><0A><0C><06><05><見>	
371	0x0a5c	4	FF	019600d0	<士>ヨ<魔>み	
372	0x0a61	2	FE	4000	輪<魔>	
373	0x0a64	32	FF	04000000000000000000000000000000000c022b260f20230a00200928020502	<04><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><0C><見>十手<0F> 兵<0A><魔> <09>（<見><05><見>	
374	0x0a85	13	FE	204040404040015a0010014000	 輪輪輪輪輪<士>Ｚ<魔><10><士>輪<魔>	
375	0x0a93	17	FF	04000e02230a0c20000f260e020b0a230a	<04><魔><0E><見>兵<0A><0C> <魔><0F>手<0E><見><0B><0A>兵<0A>	
376	0x0aa5	7	FE	0078001001c000	<魔>ク<魔><10><士>た<魔>	
377	0x0aad	14	FF	040023260a0c200025020f020c02	<04><魔>兵手<0A><0C> <魔>時<見><0F><見><0C><見>	
378	0x0abc	39	FF	20005a00000100010000000000000000000000000000002126030d0a040023060d02250a200f24	 <魔>Ｚ<魔><魔><士><魔><士><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔>！手<03><0D><0A><04><魔>兵<06><0D><見>時<0A> <0F>出	
379	0x0ae4	7	FE	017800c0000001	<士>ク<魔>た<魔><魔><士>	
380	0x0aec	32	FF	040000000000000000000000000000000000002a0224262a260c0a0024200f06	<04><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔>行<見>出手行手<0C><0A><魔>出 <0F><06>	
381	0x0b0d	7	FE	01960040000001	<士>ヨ<魔>輪<魔><魔><士>	
382	0x0b15	32	FF	04000000000000000000000000000000002a2024090a090a24020024020a2520	<04><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔>行 出<09><0A><09><0A>出<見><魔>出<見><0A>時 	
383	0x0b36	7	FE	01b40000000001	<士>え<魔><魔><魔><魔><士>	
384	0x0b3e	32	FF	04000000000000000000000000000000000025020c0224090a00202524260c02	<04><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔>時<見><0C><見>出<09><0A><魔> 時出手<0C><見>	
385	0x0b5f	12	FF	204040404040015a00c000d0	 輪輪輪輪輪<士>Ｚ<魔>た<魔>み	
386	0x0b6c	13	FF	000a0d0d2624252302250a200f	<魔><0A><0D><0D>手出時兵<見>時<0A> <0F>	
387	0x0b7a	6	FF	0178004000d0	<士>ク<魔>輪<魔>み	
388	0x0b81	0	FE			
