#id	run	addr	len	ptrs	orig_hex	orig_text	translation
20	19	0x040d1e	16	0x040022	fe1c80b09df902f3c3cf0184fe1ce935	<FE><1C>ターン<F9><02><F3>てま<01>ト<FE><1C><E9>５	왕이 너를 부르신다
21	19	0x040d2e	75	0x040024	ed2c000015161718f11516171815161718f1f0c47a0df902f0c47a0df904f0c47a0df906f0c47a0df908f0c47a0df90af0c47a0df90cf0c47a0df90e1718151617181516f1f91017181516	<ED>界<00><00><15><16><17><18><F1><15><16><17><18><15><16><17><18><F1><F0>とコ<0D><F9><02><F0>とコ<0D><F9><04><F0>とコ<0D><F9><06><F0>とコ<0D><F9><08><F0>とコ<0D><F9><0A><F0>とコ<0D><F9><0C><F0>とコ<0D><F9><0E><17><18><15><16><17><18><15><16><F1><F9><10><17><18><15><16>	무기를 손질해 두었다
22	20	0x040d7a	11		17181516171815161718f1	<17><18><15><16><17><18><15><16><17><18><F1>	
23	21	0x040d86	11	0x040026	fe1c46494e414cfe1ce935	<FE><1C>ＦＩＮＡＬ<FE><1C><E9>５	
24	21	0x040d91	27	0x040028	ed3cfa01f1e9089020f50fc9deb601b2afca02b2c301bd21ee440c	<ED>者<FA><01><F1><E9><08>ミ <A0F>の中がいっは<02>いです！<EE>Ｄ<0C>	약초를 조금 나눠 주마
25	21	0x040dac	46	0x04002a	fa01eb1931c2f5c7f510bdd9c4f1fbeb18ed20b601353030ccb4cfbdf1ee4c0cf906eb19c9f6b6a6f1f906ee4c0c	<FA><01><EB><19>１つ<AC7><A10>すると<F1><FB><EB><18><ED> が５００ふえます<F1><EE>Ｌ<0C><F9><06><EB><19>の<BB6>を<F1><F9><06><EE>Ｌ<0C>	여관에서 쉬고 가겠나
26	21	0x040dda	30	0x04002c	fa01fb20eb18ed20c6f5c7f510bccfbdf120d6dbbcb2c301bdb63fee0d0c	<FA><01><FB> <EB><18><ED> に<AC7><A10>します<F1> よろしいですか？<EE><0D><0C>	그림자가 움직이고 있다
27	21	0x040df8	37	0x04005c	fa01ed3ceb19ed20a631c2f5103abdd9c9c6f1eb18b601353030f5b4f669c301bdf1ee4c0c	<FA><01><ED>者<EB><19><ED> を１つ<A10>石するのに<F1><EB><18>が５００<AB4><B69>です<F1><EE>Ｌ<0C>	기억이 돌아오지 않는다
28	21	0x040e1d	16	0x04005e	fa01ed3c20eb19ed20c6f5103aeee70d	<FA><01><ED>者 <EB><19><ED> に<A10>石<EE><E7><0D>	불빛을 따라가 보아라
29	21	0x040e2d	4	0x04002e	e93e2805	<E9>思（<05>	
30	22	0x040e32	2	0x040030	fe08	<FE><08>	
31	23	0x040e35	6	0x040032	fe2cf98ffe2a	<FE>界<F9>マ<FE>行	
32	24	0x040e3c	6	0x040034	fe06f98ffe28	<FE><06><F9>マ<FE>（	
33	25	0x040e43	47	0x040036	ed2c4070fc14040509f913ed20202020ed2c0a09f913fb2af3697f0002ed2c0a09ed20fc1520ed2c0a06fc1407dedf	<ED>界輪殺<FC><14><04><05><09><F9><13><ED>    <ED>界<0A><09><F9><13><FB>行<F3>ゥソ<00><02><ED>界<0A><09><ED> <FC><15> <ED>界<0A><06><FC><14><07>中物	여기서 기다리마
34	26	0x040e73	12	0x040038	fe2cf98e4c5620f3697f0001	<FE>界<F9>ホＬＶ <F3>ゥソ<00><01>	여기는 어두운 숲의
35	27	0x040e80	18	0x04003a	ed3cfa01fd930efe26ed20a6f1f57bafc021	<ED>者<FA><01><FD>モ<0E><FE>手<ED> を<F1><A7B>った！	무엇을 찾고 있느냐
36	28	0x040e93	11		fe08ed20a6f1c4c5b4c021	<FE><08><ED> を<F1>となえた！	
37	29	0x040e9f	24	0x04003c	fa0120eb18b601fbf3199c0184ed20c6f120c5d8cfbcc0ea	<FA><01> <EB><18>が<FB><F3><19>ワ<01>ト<ED> に<F1> なりました<EA>	그 검은 이미 부서졌다
38	30	0x040eb8	20	0x04003e	fa0120eb19b601ed3cf3169c0083ed207aeeae0e	<FA><01> <EB><19>が<ED>者<F3><16>ワ<00>テ<ED> コ<EE>ょ<0E>	마을 사람들이 모두 사라졌어
39	30	0x040ecc	20	0x040040	fa01f1fde10e2020bcb6bcf548b901d7dac5b221	<FA><01><F1><FD>→<0E>  しかし<A48>げられない！	밤이 오면 문을 잠그거라
40	31	0x040ee1	14		20f681cab5bfb2b6b6afc33bc021	 <B81>はおそいかかって来た！	
41	32	0x040ef0	28	0x040042	fa014c2e528e01809dc301f400f5fac9caddb2b601f563b4d7dacfbd	<FA><01>Ｌ。Ｒボタンで<F4><00><AFA>のはんいが<A63>えられます	네 운명은 아직 정해지지 않았다
42	33	0x040f0d	28	0x040044	fa0120eb18c6f5c7f510bdd9f1ed2c20eb19c6f5103abdd9f1ee4711	<FA><01> <EB><18>に<AC7><A10>する<F1><ED>界 <EB><19>に<A10>石する<F1><EE>Ｇ<11>	이 길은 성으로 이어진다
43	33	0x040f29	2	0x040046	e94d	<E9>Ｍ	
44	34	0x040f2c	23	0x040048	ed2c4070fc03040509f9050a09ed24c4c5b4d920eef40f	<ED>界輪殺<FC><03><04><05><09><F9><05><0A><09><ED>出となえる <EE><F4><0F>	조심해라 함정이 많다
45	34	0x040f43	66	0x04004a	ed2c4070fc11040509f9130a09f9130a09f9130a09f9130a09f9130a09f9130a09f9130a09f9130a09f9130a09f9130a09f9130a09f9130a09f9130a06fc1107dedf	<ED>界輪殺<FC><11><04><05><09><F9><13><0A><09><F9><13><0A><09><F9><13><0A><09><F9><13><0A><09><F9><13><0A><09><F9><13><0A><09><F9><13><0A><09><F9><13><0A><09><F9><13><0A><09><F9><13><0A><09><F9><13><0A><09><F9><13><0A><09><F9><13><0A><06><FC><11><07>中物	값은 오백 골드다
46	35	0x040f86	68	0x04004c	ed2c004070fc110405f0c4cb0ff0c4cb0ff0c4cb0ff0c4cb0ff0c4cb0ff0c4cb0ff0c4cb0ff0c4cb0ff0c4cb0ff0c4cb0ff0c4cb0ff0c4cb0ff0c4cb0f0006fc1107dedf	<ED>界<00>輪殺<FC><11><04><05><F0>とひ<0F><F0>とひ<0F><F0>とひ<0F><F0>とひ<0F><F0>とひ<0F><F0>とひ<0F><F0>とひ<0F><F0>とひ<0F><F0>とひ<0F><F0>とひ<0F><F0>とひ<0F><F0>とひ<0F><F0>とひ<0F><00><06><FC><11><07>中物	더 이상 줄 것이 없구나
47	36	0x040fcb	5		0009f9130a	<00><09><F9><13><0A>	
48	37	0x040fd1	63	0x04004e	ed2c4070fc03040509f9050a09ed24c2b6b32020ed2c0a09f9050a09ed24bdc3d92020ed2c0a09f9050a09ed24bec2d2b220ed2c0a09f9050a06fc0307dedf	<ED>界輪殺<FC><03><04><05><09><F9><05><0A><09><ED>出つかう  <ED>界<0A><09><F9><05><0A><09><ED>出すてる  <ED>界<0A><09><F9><05><0A><09><ED>出せつめい <ED>界<0A><09><F9><05><0A><06><FC><03><07>中物	왕이 너를 부르신다
49	38	0x041011	24	0x040050	ed2c4070fc03040509f9050a09ed24bfb3cb012020eee50f	<ED>界輪殺<FC><03><04><05><09><F9><05><0A><09><ED>出そうび  <EE>★<0F>	무기를 손질해 두었다
50	38	0x041029	9	0x040052	ed2c00400909090906	<ED>界<00>輪<09><09><09><09><06>	
51	39	0x041033	114	0x040054	ed2c4070fc0a040509fb2041503aed20fe10ed24f98a2d2d2ded2cf98d615ff90c0a09fb2044503aed20fe12ed24f98a2d2d2ded2cf98d0a60f90c0a09fb2044583aed20fe14ed24f98a2d2d2ded2cf98d0a09f90c0a09fb204d503aed20fe04ed24f98a2d2d2ded2cf98d0a06fc0a07dedf	<ED>界輪殺<FC><0A><04><05><09><FB> ＡＰ石<ED> <FE><10><ED>出<F9>ハ腕腕腕<ED>界<F9>ヘ命方<F9><0C><0A><09><FB> ＤＰ石<ED> <FE><12><ED>出<F9>ハ腕腕腕<ED>界<F9>ヘ<0A>世<F9><0C><0A><09><FB> ＤＸ石<ED> <FE><14><ED>出<F9>ハ腕腕腕<ED>界<F9>ヘ<0A><09><F9><0C><0A><09><FB> ＭＰ石<ED> <FE><04><ED>出<F9>ハ腕腕腕<ED>界<F9>ヘ<0A><06><FC><0A><07>中物	약초를 조금 나눠 주마
52	40	0x0410a6	5	0x040056	f3b57f0003	<F3>おソ<00><03>	
53	41	0x0410ac	40	0x040058	e906ed2c4070fc1c04055ff91e0a60f91e6109f91e6109f91e0a09f91e625ff91e0a06fc1c07dedf	<E9><06><ED>界輪殺<FC><1C><04><05>方<F9><1E><0A>世<F9><1E>命<09><F9><1E>命<09><F9><1E><0A><09><F9><1E>言方<F9><1E><0A><06><FC><1C><07>中物	여관에서 쉬고 가겠나
54	42	0x0410d5	0	0x04005a			
55	43	0x0410d6	90		ed2c4070fc06040509ed20fc0720ed2c615fed242041503a2d2d2d20ed2c0a09ed20fc0720ed2c0a60fb2044503a2d2d2d20ed2c6209ed20fc0720ed2c0a09fb2044583a2d2d2d20ed2c615fed20fc0720ed2c0a06fc0607dedf	<ED>界輪殺<FC><06><04><05><09><ED> <FC><07> <ED>界命方<ED>出 ＡＰ石腕腕腕 <ED>界<0A><09><ED> <FC><07> <ED>界<0A>世<FB> ＤＰ石腕腕腕 <ED>界言<09><ED> <FC><07> <ED>界<0A><09><FB> ＤＸ石腕腕腕 <ED>界命方<ED> <FC><07> <ED>界<0A><06><FC><06><07>中物	
56	44	0x041131	33	0x040060	fa012071728391a6c2b8d9f1ed2c20eb19c6f5b1bdf120d4d2d9e9410303040c14	<FA><01> アイテムをつくる<F1><ED>界 <EB><19>に<AB1>す<F1> やめる<E9>Ａ<03><03><04><0C><14>	그림자가 움직이고 있다
57	45	0x041153	71	0x040062	fa06e90940f901fd9b11f53af73bf739f73af3697f0001f500f56ab601f5e8d8cfbcc0f1f90553415645bccfbdb63ff0c40d0ce9409611e903e942f0c4ed1ce940eb1ce942e937	<FA><06><E9><09>輪<F9><01><FD>ロ<11><A3A><F7>来<F7>９<F7>石<F3>ゥソ<00><01><A00><A6A>が<AE8>りました<F1><F9><05>ＳＡＶＥしますか？<F0>と<0D><0C><E9>輪ヨ<11><E9><03><E9>Ｂ<F0>と<ED><1C><E9>輪<EB><1C><E9>Ｂ<E9>７	기억이 돌아오지 않는다
58	46	0x04119b	7		f520f521ee6111	<A20><A21><EE>命<11>	
59	46	0x0411a2	102	0x040064	ed2c004070fc0504050009f9070a0009ed20fd0912bab3b901b7bdd920ed2c0a0009f9070a0009ed24cfceb3a6c2b6b3ed2c0a0009f9070a0009ed24c5c6d3bcc5b220ed2c0a0009f9070a0009ed24d0ddc5c6b901d920ed2c0a0009f9070a0006fc0507dedf	<ED>界<00>輪殺<FC><05><04><05><00><09><F9><07><0A><00><09><ED> <FD><09><12>こうげきする <ED>界<0A><00><09><F9><07><0A><00><09><ED>出まほうをつかう<ED>界<0A><00><09><F9><07><0A><00><09><ED>出なにもしない <ED>界<0A><00><09><F9><07><0A><00><09><ED>出みんなにげる <ED>界<0A><00><09><F9><07><0A><00><06><FC><05><07>中物	불빛을 따라가 보아라
60	47	0x041209	48		7f7399a6c2b6b3ed2c0a0009f9070a0009ed24d6b3bda6d0d920ed2c0a0009f9070a0009ed24b1b2c3c6bcc5b2eef911	ソウルをつかう<ED>界<0A><00><09><F9><07><0A><00><09><ED>出ようすをみる <ED>界<0A><00><09><F9><07><0A><00><09><ED>出あいてにしない<EE><F9><11>	
61	47	0x041239	26	0x040066	ed2c4070fc04040509ed20205741495420ed2c0a06fc0407dedf	<ED>界輪殺<FC><04><04><05><09><ED>  ＷＡＩＴ <ED>界<0A><06><FC><04><07>中物	여기서 기다리마
62	48	0x041254	13	0x040068	fbfa01f1e9089020eb18eef818	<FB><FA><01><F1><E9><08>ミ <EB><18><EE><F8><18>	여기는 어두운 숲의
63	48	0x041261	54	0x04006a	ed2c4070fc1104055ff9130a60ed20fe20ed2cf9940a09f9136109fb2048503a20ed20f0c49812ed2cf9946160f9130a06fc1107dedf	<ED>界輪殺<FC><11><04><05>方<F9><13><0A>世<ED> <FE> <ED>界<F9>ヤ<0A><09><F9><13>命<09><FB> ＨＰ石 <ED> <F0>とリ<12><ED>界<F9>ヤ命世<F9><13><0A><06><FC><11><07>中物	무엇을 찾고 있느냐
64	49	0x041298	9		fe2ea212fe022ffe0c	<FE>。「<12><FE><02>気<FE><0C>	
65	50	0x0412a2	5		f325990104	<F3>時ル<01><04>	
66	51	0x0412a8	97	0x04006c	ed2c4070fc06040509fb2041503aed20fe1020ed2c615fed20fc0720ed2c0a09fb2044503aed20fe1220ed2c0a60ed20fc0720ed2c6209fb2044583aed20fe1420ed2c0a09ed20fc0720ed2c615ffb204d503aed20fe0420ed2c0a06fc0607dedf	<ED>界輪殺<FC><06><04><05><09><FB> ＡＰ石<ED> <FE><10> <ED>界命方<ED> <FC><07> <ED>界<0A><09><FB> ＤＰ石<ED> <FE><12> <ED>界<0A>世<ED> <FC><07> <ED>界言<09><FB> ＤＸ石<ED> <FE><14> <ED>界<0A><09><ED> <FC><07> <ED>界命方<FB> ＭＰ石<ED> <FE><04> <ED>界<0A><06><FC><06><07>中物	그 검은 이미 부서졌다
67	52	0x04130a	66	0x04006e	ed2c4070fc0d040509f90f0a09ed20f901fe16ed2cf9900a09f90f0a09ed20f901fe18ed2cf9900a09f90f0a09ed20f901fe1aed2cf9900a09f90f0a06fc0d07dedf	<ED>界輪殺<FC><0D><04><05><09><F9><0F><0A><09><ED> <F9><01><FE><16><ED>界<F9>ミ<0A><09><F9><0F><0A><09><ED> <F9><01><FE><18><ED>界<F9>ミ<0A><09><F9><0F><0A><09><ED> <F9><01><FE><1A><ED>界<F9>ミ<0A><09><F9><0F><0A><06><FC><0D><07>中物	마을 사람들이 모두 사라졌어
68	53	0x04134d	34	0x040070	ed2c0370040404040509f9050a09ed20fe24ed2cf9860a09f9050a0607070707dedf	<ED>界<03>殺<04><04><04><04><05><09><F9><05><0A><09><ED> <FE>出<ED>界<F9>ニ<0A><09><F9><05><0A><06><07><07><07><07>中物	밤이 오면 문을 잠그거라
69	54	0x041370	34	0x040072	ed2c0370fc09040509f90b0a09f984ed20fe24ed2cf98c0a09f90b0a06fc0907dedf	<ED>界<03>殺<FC><09><04><05><09><F9><0B><0A><09><F9>ト<ED> <FE>出<ED>界<F9>フ<0A><09><F9><0B><0A><06><FC><09><07>中物	네 운명은 아직 정해지지 않았다
70	55	0x041393	63	0x040074	fa01ed3cfdb413badaf6adf51feb1fc6c301b7cfbedd21f1f61fbdeb1fa6ee1819badaf6adf51fbcd3cd01c6c301b7cfbedd21f1f61fbdbcd3cd01a6ee1819	<FA><01><ED>者<FD>え<13>これ<BAD><A1F><EB><1F>にできません！<F1><B1F>す<EB><1F>を<EE><18><19>これ<BAD><A1F>しもべにできません！<F1><B1F>すしもべを<EE><18><19>	이 길은 성으로 이어진다
71	55	0x0413d2	33	0x040076	fa01fbfe22ed20a6f1fde313eb1feee713bcd3cd01b6d7f61fbccfbdb63fee0d0c	<FA><01><FB><FE>生<ED> を<F1><FD>\n<13><EB><1F><EE><E7><13>しもべから<B1F>しますか？<EE><0D><0C>	조심해라 함정이 많다
72	55	0x0413f3	14	0x040078	fa01b1b7d7d2cfbdb63ff1ee0d0c	<FA><01>あきらめますか？<F1><EE><0D><0C>	값은 오백 골드다
73	55	0x041401	32	0x04007a	fbfa01f9c1e908902020badaf6adf51feb18c6f1e90890f907f5c7f510eec50c	<FB><FA><01><F9>ち<E9><08>ミ  これ<BAD><A1F><EB><18>に<F1><E9><08>ミ<F9><07><AC7><A10><EE>な<0C>	더 이상 줄 것이 없구나
74	55	0x041421	18	0x04007c,0x04007e	00fc091c0010f90a111af90a1b12fc091d13	<00><FC><09><1C><00><10><F9><0A><11><1A><F9><0A><1B><12><FC><09><1D><13>	
75	56	0x041434	8	0x040080	4d5020f36aad0003	ＭＰ <F3>ェゅ<00><03>	
76	57	0x04143d	12	0x040082	fa06e90940fbe93f4b146814	<FA><06><E9><09>輪<FB><E9>？Ｋ<14>ィ<14>	왕이 너를 부르신다
77	58	0x04144a	0				
78	59	0x04144b	28		f90120eb18b601c5b8c5d8f1f90120602ccaf6b7f5c4c6b5b5dcdac0	<F9><01> <EB><18>がなくなり<F1><F9><01> 世界は<BB7><AC4>におおわれた	
79	60	0x041468	28		207f7399a6f532f533c6b1d4c2d93ce320bfdabdc5dcc1f5db3cc5d8	 ソウルを<A32><A33>にあやつる者\n それすなわち<ADB>者なり	
80	61	0x041485	12	0x040084	f504f641decac2b6b4c5b221	<A04><B41>中はつかえない！	무기를 손질해 두었다
81	62	0x041492	19	0x040086	fa06e90940fbfd0c15e93fa714c114db14f414	<FA><06><E9><09>輪<FB><FD><0C><15><E9>？ぁ<14>ち<14>ろ<14><F4><14>	약초를 조금 나눠 주마
82	63	0x0414a6	0				
83	64	0x0414a7	25		f9012020eb04caf58eb8bcc3e32020bfc9f59422a6f5e8b4c0	<F9><01>  <EB><04>は<A8E>くして\n  その<A94>生を<AE8>えた	
84	65	0x0414c1	25		202020eb04c922f6b8cae320f62ad8c2b601dac5b2c001dbb3	   <EB><04>の生<BB8>は\n <B2A>りつがれないだろう	
85	66	0x0414db	24		2020eb04caf6b9f6bac6f504b2e3202020bfbcc3f643afc0	  <EB><04>は<BB9><BBA>に<A04>い\n   そして<B43>った	
86	67	0x0414f4	23		f90120202020eb31b601e320f51ac6bdb2bacfdac3b2b8	<F9><01>    <EB>１が\n <A1A>にすいこまれていく	
87	68	0x04150c	8		e93f161531154115	<E9>？<16><15>１<15>Ａ<15>	
88	69	0x041515	0				
89	70	0x041516	26		202020eb00caf5c2f55dbcc0e320bcb6bc20b2c2c9f500b6a5a5	   <EB><00>は<AC2><A5D>した\n しかし いつの<A00>か‥‥	
90	71	0x041531	15		202020eb14c401d3c6602ca6a5a5f1	   <EB><14>どもに世界を‥‥<F1>	
91	72	0x041541	24		f901202020eb00ca2d40a6e32020f5d6d8f5b1bec5b6afc0	<F9><01>   <EB><00>は腕輪を\n  <AD6>り<AB1>せなかった	
92	73	0x04155a	18	0x040088	fa06e90940fbfd6615ee9b14e93f16153115	<FA><06><E9><09>輪<FB><FD>ヲ<15><EE>ロ<14><E9>？<16><15>１<15>	여관에서 쉬고 가겠나
93	74	0x04156d	0				
94	75	0x04156e	42	0x04008a	ed2c407004040405f0c49915f0c49915f0c49915f0c49915f0c49915f0c49915f0c4991506070707dedf	<ED>界輪殺<04><04><04><05><F0>とル<15><F0>とル<15><F0>とル<15><F0>とル<15><F0>とル<15><F0>とル<15><F0>とル<15><06><07><07><07>中物	그림자가 움직이고 있다
95	76	0x041599	9		09ed20fc0320ed2c0a	<09><ED> <FC><03> <ED>界<0A>	
96	77	0x0415a3	2	0x04008c	e911	<E9><11>	
97	78	0x0415a6	2	0x04008e	e910	<E9><10>	
98	79	0x0415a9	2	0x040090	e913	<E9><13>	
99	80	0x0415ac	21	0x040092,0x040094	fa01ed3cfe20ed20b601f1f57bb2cfbdb63fee0d0c	<FA><01><ED>者<FE> <ED> が<F1><A7B>いますか？<EE><0D><0C>	
100	80	0x0415c1	34	0x040096	ed2c4070fc08040509f90a0a09ed20fe22e929f98bed2c0a09f90a0a06fc0807dedf	<ED>界輪殺<FC><08><04><05><09><F9><0A><0A><09><ED> <FE>生<E9>）<F9>ヒ<ED>界<0A><09><F9><0A><0A><06><FC><08><07>中物	기억이 돌아오지 않는다
101	81	0x0415e4	19	0x040098	fa01ed3cf0c451f4939d7d80b0c6caf1ee900c	<FA><01><ED>者<F0>とＱ<F4>モンスターには<F1><EE>ミ<0C>	불빛을 따라가 보아라
102	81	0x0415f7	9	0x04009a	bfb3cb01bcc3b2c5b2	そうびしていない	
103	82	0x041601	4	0x04009c	e93e4902	<E9>思Ｉ<02>	
104	83	0x041606	54	0x04009e	20205820fe1eaed7fe1eadd7f120205920fe1e2ed8fe1e2dd8f1415452202020fe1e5b02f1fe1e2ed3fe1e2dd32efe1eaed3fe1eadd3	  Ｘ <FE><1E>ょら<FE><1E>ゅら<F1>  Ｙ <FE><1E>。り<FE><1E>腕り<F1>ＡＴＲ   <FE><1E>前<02><F1><FE><1E>。も<FE><1E>腕も。<FE><1E>ょも<FE><1E>ゅも	여기서 기다리마
105	84	0x04163d	20	0x0400a0	fa0120fbfe22ed20a6f1fd521620eb1fc6bcc021	<FA><01> <FB><FE>生<ED> を<F1><FD>Ｒ<16> <EB><1F>にした！	여기는 어두운 숲의 입구다
106	85	0x041652	9		20bcd3cd01c6bcc021	 しもべにした！	
107	86	0x04165c	21	0x0400a2,0x0400a4	fa0171728391a6c5d7cb01b6b4cfbdb63ff1ee0d0c	<FA><01>アイテムをならびかえますか？<F1><EE><0D><0C>	
108	86	0x041671	32	0x0400a6	fd9116ed2c4070040404040509ed3c462ef3169c0003ed2c0a0607070707dedf	<FD>ム<16><ED>界輪殺<04><04><04><04><05><09><ED>者Ｆ。<F3><16>ワ<00><03><ED>界<0A><06><07><07><07><07>中物	무엇을 찾고 있느냐
109	87	0x041692	48	0x0400a8	ed2c4070fc0a040509f90c0a09ed20eb1920ed2c23ed20f901f367ad0001f901ed2c24f9010a09f90c0a06fc0a07dedf	<ED>界輪殺<FC><0A><04><05><09><F9><0C><0A><09><ED> <EB><19> <ED>界兵<ED> <F9><01><F3>ァゅ<00><01><F9><01><ED>界出<F9><01><0A><09><F9><0C><0A><06><FC><0A><07>中物	그 검은 이미 부서졌다
110	88	0x0416c3	19	0x0400aa	ed2c4070040404040509fbf3697f0105ee8716	<ED>界輪殺<04><04><04><04><05><09><FB><F3>ゥゾ<05><EE>ヌ<16>	마을 사람들이 모두 사라졌어
111	88	0x0416d6	5	0x0400ac	f379cf0105	<F3>ケま<01><05>	
112	89	0x0416dc	5	0x0400ae	ed20f1fe20	<ED> <F1><FE> 	
113	90	0x0416e2	17	0x0400b0	fa01cfc001f50fa6f5d6afc3b2c5b221ea	<FA><01>まだ<A0F>を<AD6>っていない！<EA>	밤이 오면 문을 잠그거라
114	91	0x0416f4	7	0x0400b2	ed2c03fc0c0405	<ED>界<03><FC><0C><04><05>	
115	92	0x0416fc	35	0x0400b4,0x0400b6	fa0120ed3cfe26ed20caf120f666f5cdc301fbf3697f0082ed207ac301bdb63fee0d0c	<FA><01> <ED>者<FE>手<ED> は<F1> <B66><ACD>で<FB><F3>ゥソ<00>ツ<ED> コですか？<EE><0D><0C>	
116	92	0x04171f	26	0x0400b8	fc0600ed2c0b700404040405f981fe0af1f0c46817f0c46817ed	<FC><06><00><ED>界<0B>殺<04><04><04><04><05><F9>チ<FE><0A><F1><F0>とィ<17><F0>とィ<17><ED>	네 운명은 아직 정해지지 않았다
117	93	0x04173a	18		f981fe00f1fe2e7417f0c46817f981fb19ed	<F9>チ<FE><00><F1><FE>。エ<17><F0>とィ<17><F9>チ<FB><19><ED>	
118	94	0x04174d	13		fe02f1f0c46817f981fb202fed	<FE><02><F1><F0>とィ<17><F9>チ<FB> 気<ED>	
119	95	0x04175b	12		fe0cf1ed2c0d07070707dedf	<FE><0C><F1><ED>界<0D><07><07><07><07>中物	
120	96	0x041768	11		ed2c0ced20fc0420ed2c0a	<ED>界<0C><ED> <FC><04> <ED>界<0A>	
121	97	0x041774	10		f0c46817ed2c0cfb19ed	<F0>とィ<17><ED>界<0C><FB><19><ED>	
122	98	0x04177f	15		f325990104ed2c0a0d07070707dedf	<F3>時ル<01><04><ED>界<0A><0D><07><07><07><07>中物	
123	99	0x04178f	27	0x0400ba	fc0c00ed2c0b70fc090405f984fe0af1f0c4d217f0c4d217f984ed	<FC><0C><00><ED>界<0B>殺<FC><09><04><05><F9>ト<FE><0A><F1><F0>とめ<17><F0>とめ<17><F9>ト<ED>	
124	100	0x0417ab	12		fe00f1f0c4d217f984fb19ed	<FE><00><F1><F0>とめ<17><F9>ト<FB><19><ED>	
125	101	0x0417b8	13		fe02f1f0c4d217f984fb202fed	<FE><02><F1><F0>とめ<17><F9>ト<FB> 気<ED>	
126	102	0x0417c6	11		fe0cf1ed2c0dfc0907dedf	<FE><0C><F1><ED>界<0D><FC><09><07>中物	
127	103	0x0417d2	11		ed2c0ced20fc0a20ed2c0a	<ED>界<0C><ED> <FC><0A> <ED>界<0A>	
128	104	0x0417de	20	0x0400bc	ed2cf0c4040df981fe0af1f0c40c0df0c40c0ded	<ED>界<F0>と<04><0D><F9>チ<FE><0A><F1><F0>と<0C><0D><F0>と<0C><0D><ED>	
129	105	0x0417f3	20		f981fe00f1fe2e2518ed2cf0c40c0df981fb19ed	<F9>チ<FE><00><F1><FE>。時<18><ED>界<F0>と<0C><0D><F9>チ<FB><19><ED>	
130	106	0x041808	15		fe02f1ed2cf0c40c0df981fb202fed	<FE><02><F1><ED>界<F0>と<0C><0D><F9>チ<FB> 気<ED>	
131	107	0x041818	12		fe0cf1ed2cf0c4160dfc0600	<FE><0C><F1><ED>界<F0>と<16><0D><FC><06><00>	
132	108	0x041825	12		ed2cf0c40c0ded2c09fb19ed	<ED>界<F0>と<0C><0D><ED>界<09><FB><19><ED>	
